Date,Open,High,Low,Close,Adj Close,Volume,50_MA,200_MA,Rolling Volatility,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Bollinger_Width
14/10/2024,228.6999969,231.7299957,228.6000061,231.3000031,231.3000031,39882100,223.6666003,198.9453499,0.015324737,226.6709991,233.8695015,219.4724968,14.39700465
15/10/2024,233.6100006,237.4900055,232.3699951,233.8500061,233.8500061,64751400,224.1582004,199.1466999,0.015413033,227.5239998,233.7730289,221.2749707,12.49805819
16/10/2024,231.6000061,232.1199951,229.8399963,231.7799988,231.7799988,34082200,224.6492004,199.3429499,0.015290387,228.0784996,233.7120427,222.4449565,11.26708625
17/10/2024,233.4299927,233.8500061,230.5200043,232.1499939,232.1499939,32978900,225.0958002,199.5754999,0.012957182,228.2424995,234.1570226,222.3279765,11.82904614
18/10/2024,235.8800049,236.0500031,234.0200043,235.1376038,235.1376038,26436540,225.5323523,199.8299379,0.013197773,228.5893799,235.2589756,221.9197842,13.33919136
