Date,Open,High,Low,Close,Adj Close,Volume,50_MA,200_MA,Rolling Volatility,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Bollinger_Width
17/10/2005,1.927857041,1.936786056,1.881428957,1.908571005,1.611741185,616834400,1.763792856,1.488962487,0.030003995,1.876910746,1.97448785,1.779333643,0.195154207
18/10/2005,1.90178597,1.926785946,1.864285946,1.864642978,1.574644923,609588000,1.770621436,1.492634807,0.030390146,1.875160748,1.972275578,1.778045918,0.194229659
19/10/2005,1.859642982,1.962857008,1.828928947,1.962142944,1.656981349,1008683200,1.778564293,1.496736591,0.032182537,1.880214345,1.984496586,1.775932104,0.208564482
20/10/2005,1.945356965,2.017857075,1.941071033,2.005000114,1.693172932,1357762000,1.787678576,1.501002662,0.032398849,1.887785798,2.005098083,1.770473513,0.23462457
21/10/2005,2.029999971,2.035000086,1.977143049,1.987856984,1.678695917,796726000,1.796007135,1.505178552,0.032143179,1.892178649,2.017708625,1.766648672,0.251059953
24/10/2005,1.97321403,2.028213978,1.967499971,2.028213978,1.712776542,609753200,1.803642836,1.509136587,0.032321681,1.897446495,2.036510187,1.758382804,0.278127383
25/10/2005,2.014286041,2.030356884,1.988929033,2.003571033,1.691966176,465127600,1.809657116,1.512997298,0.032420141,1.902196497,2.049127405,1.755265588,0.293861817
26/10/2005,2.00999999,2.055713892,1.99714303,2.036786079,1.720015526,631593200,1.817357118,1.517416943,0.030569647,1.912821501,2.066603836,1.759039167,0.307564668
27/10/2005,2.035356998,2.036071062,1.978929043,1.978929043,1.671157002,411541200,1.82325712,1.521466944,0.03115797,1.918303657,2.073363279,1.763244034,0.310119245
28/10/2005,2.001429081,2.015357018,1.93464303,1.945356965,1.642805815,769787200,1.829092839,1.524961584,0.031061968,1.919839352,2.075354033,1.764324672,0.311029361
31/10/2005,1.97142899,2.070713997,1.955356956,2.05678606,1.736904502,940844800,1.83749284,1.528977659,0.033389313,1.925464356,2.092419645,1.758509067,0.333910577
1/11/2005,2.044286013,2.07642889,2.031070948,2.053570986,1.734189868,749686000,1.84579998,1.532937478,0.03320086,1.932160753,2.108606606,1.7557149,0.352891707
2/11/2005,2.061429024,2.142857075,2.057142973,2.141071081,1.808081388,857060400,1.855949981,1.537403549,0.033855607,1.944964308,2.142860175,1.74706844,0.395791735
3/11/2005,2.152143002,2.225713968,2.145356894,2.208929062,1.865385652,884382800,1.867435703,1.542157124,0.033643394,1.963089311,2.187598622,1.73858,0.449018622
4/11/2005,2.155356884,2.187143087,2.129286051,2.183928967,1.844273448,878035200,1.878214283,1.546783019,0.033749468,1.980678612,2.216812642,1.744544582,0.472268059
7/11/2005,2.173213959,2.202500105,2.147856951,2.151071072,1.816526175,638831200,1.888564284,1.55122052,0.033624158,1.998285717,2.229828386,1.766743047,0.463085339
8/11/2005,2.141071081,2.156429052,2.110713959,2.139286041,1.806573868,473765600,1.898607144,1.555483915,0.033595809,2.01312502,2.240635497,1.785614543,0.455020954
9/11/2005,2.142857075,2.186070919,2.142857075,2.146785975,1.812907696,552930000,1.908278584,1.559766949,0.031201259,2.032517868,2.233354446,1.831681291,0.401673155
10/11/2005,2.165714025,2.185714006,2.107500076,2.184999943,1.845178008,665344400,1.918485723,1.564206234,0.02488734,2.045803565,2.250224162,1.841382968,0.408841194
11/11/2005,2.197856903,2.218214035,2.190713882,2.197856903,1.856035709,425448800,1.929400001,1.568590164,0.024884112,2.059267861,2.266628696,1.851907025,0.414721672
14/11/2005,2.197856903,2.213571072,2.175357103,2.194643021,1.853321552,369933200,1.94027858,1.572697309,0.024638243,2.073571461,2.276584546,1.870558377,0.406026168
15/11/2005,2.200000048,2.25285697,2.194999933,2.224286079,1.878354311,536841200,1.949907162,1.576896419,0.023605533,2.091553617,2.279822523,1.90328471,0.376537813
16/11/2005,2.255357027,2.323570967,2.253213882,2.319643021,1.958881617,784515200,1.961528602,1.581384814,0.022778444,2.10942862,2.313209695,1.905647546,0.407562148
17/11/2005,2.342499971,2.352857113,2.294642925,2.304286003,1.945912361,676205600,1.972057183,1.585958924,0.022799763,2.124392915,2.339524421,1.909261408,0.430263013
18/11/2005,2.332499981,2.336786032,2.298928976,2.305713892,1.947118163,524960800,1.981521461,1.590448208,0.022556771,2.14028576,2.359864793,1.920706728,0.439158065
21/11/2005,2.315000057,2.32821393,2.275713921,2.319999933,1.959182143,511711200,1.99120718,1.594999993,0.022361096,2.154875058,2.381753726,1.92799639,0.453757336
22/11/2005,2.315713882,2.384285927,2.304286003,2.375714064,2.006231308,540282400,2.00242146,1.599655348,0.022194612,2.173482209,2.408989994,1.937974425,0.471015569
23/11/2005,2.388571024,2.427856922,2.381786108,2.396785975,2.024026394,485853200,2.01492146,1.604608923,0.022118963,2.191482204,2.437782127,1.945182281,0.492599846
25/11/2005,2.416429043,2.483571053,2.410713911,2.476428986,2.091282845,395012800,2.028828621,1.609994638,0.020985743,2.216357201,2.472561421,1.960152982,0.512408439
28/11/2005,2.525713921,2.538213968,2.466785908,2.487857103,2.10093379,1018519600,2.042007184,1.615183029,0.019976713,2.243482208,2.493681543,1.993282874,0.500398669
29/11/2005,2.499643087,2.510714054,2.405356884,2.432142973,2.053885221,891433200,2.053050044,1.619787493,0.018477502,2.262250054,2.509781615,2.014718493,0.495063122
30/11/2005,2.443928957,2.458929062,2.411428928,2.422142982,2.045439243,595674800,2.063500044,1.624004458,0.018559711,2.280678654,2.517440995,2.043916313,0.473524682
1/12/2005,2.462500095,2.561785936,2.457499981,2.557142973,2.159444094,812893200,2.077421484,1.628742853,0.020007002,2.301482248,2.558818557,2.04414594,0.514672617
2/12/2005,2.5810709,2.597856998,2.525000095,2.593929052,2.190508842,895762000,2.092228644,1.633872318,0.019341814,2.320732248,2.605097534,2.036366962,0.568730572
5/12/2005,2.569643021,2.590357065,2.553214073,2.565000057,2.166078806,583671200,2.105528646,1.638946424,0.019333057,2.339785802,2.636360295,2.04321131,0.593148986
6/12/2005,2.640357018,2.672499895,2.619642973,2.644643068,2.233335495,857029600,2.119964366,1.644554459,0.019156758,2.364464402,2.676650945,2.052277859,0.624373086
7/12/2005,2.651071072,2.659286022,2.611428976,2.641071081,2.230319023,679464800,2.134614367,1.649882134,0.018996502,2.389553654,2.706165197,2.072942111,0.633223086
8/12/2005,2.614285946,2.648929119,2.592856884,2.645714045,2.234240055,790479200,2.151042929,1.655170525,0.019035609,2.414500058,2.729189267,2.099810849,0.629378418
9/12/2005,2.650357008,2.663928986,2.619642973,2.654643059,2.241780996,555402400,2.166750071,1.660498205,0.01902459,2.437982213,2.750647931,2.125316496,0.625331435
12/12/2005,2.673928976,2.691071033,2.662857056,2.675357103,2.259272337,524994400,2.181964352,1.665864275,0.019007834,2.461857224,2.770213014,2.153501433,0.61671158
